Contract,customerID,Dependents,DeviceProtection,gender,MonthlyCharges,InternetService,OnlineSecurity,PaperlessBilling,MultipleLines,Partner,OnlineBackup,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,tenure,TotalCharges
Month-to-month,0004-TLHLJ,No,Yes,Male,73.9,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,No,No,No,4,280.85
Month-to-month,0011-IGKFF,No,Yes,Male,98,Fiber optic,No,Yes,No,Yes,Yes,Electronic check,Yes,1,Yes,Yes,No,13,1237.85
Month-to-month,0013-EXCHZ,No,No,Female,83.9,Fiber optic,No,Yes,No,Yes,No,Mailed check,Yes,1,No,Yes,Yes,3,267.4
Month-to-month,0023-HGHWL,No,No,Male,25.1,DSL,No,Yes,No phone service,No,No,Electronic check,No,1,No,No,No,1,25.1
Month-to-month,0023-XUOPT,No,Yes,Female,94.1,Fiber optic,No,No,Yes,Yes,Yes,Electronic check,Yes,0,No,Yes,No,13,1215.6
Month-to-month,0031-PVLZI,Yes,No internet service,Female,20.35,No,No internet service,No,No,Yes,No internet service,Mailed check,Yes,0,No internet service,No internet service,No internet service,4,76.35
Month-to-month,0032-PGELS,Yes,No,Female,30.5,DSL,Yes,No,No phone service,Yes,No,Bank transfer (automatic),No,0,No,No,No,1,30.5
Month-to-month,0067-DKWBL,No,No,Male,49.25,DSL,Yes,Yes,No,No,No,Electronic check,Yes,1,No,No,No,2,91.1
Month-to-month,0093-XWZFY,No,Yes,Male,104.5,Fiber optic,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,0,Yes,Yes,No,40,4036.85
Month-to-month,0094-OIFMO,No,No,Female,95,Fiber optic,No,Yes,No,No,Yes,Electronic check,Yes,1,Yes,Yes,No,11,1120.3
Month-to-month,0107-WESLM,No,No internet service,Male,19.85,No,No internet service,Yes,No,No,No internet service,Electronic check,Yes,0,No internet service,No internet service,No internet service,1,19.85
Month-to-month,0107-YHINA,Yes,Yes,Male,99.75,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,Yes,Yes,No,1,99.75
Month-to-month,0115-TFERT,No,Yes,Male,111.2,Fiber optic,No,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,Yes,21,2317.1
Month-to-month,0117-LFRMW,Yes,Yes,Male,40.2,DSL,Yes,No,No phone service,Yes,Yes,Bank transfer (automatic),No,0,No,No,No,37,1448.8
Month-to-month,0122-OAHPZ,No,No,Female,73.85,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,No,No,No,7,511.25
Month-to-month,0125-LZQXK,No,Yes,Male,101.35,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,Yes,Yes,Yes,15,1553.95
Month-to-month,0133-BMFZO,No,No,Female,86.25,Fiber optic,Yes,Yes,No,No,Yes,Electronic check,Yes,0,No,No,Yes,2,181.65
Month-to-month,0135-NMXAP,No,No,Female,89.75,Fiber optic,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,No,Yes,No,12,1052.4
Month-to-month,0137-OCGAB,No,No,Female,80.2,Fiber optic,No,Yes,Yes,No,Yes,Mailed check,Yes,0,No,No,No,1,80.2
Month-to-month,0137-UDEUO,No,No internet service,Female,19.85,No,No internet service,No,No,No,No internet service,Mailed check,Yes,0,No internet service,No internet service,No internet service,3,63.75
Month-to-month,0148-DCDOS,No,No,Male,94.7,Fiber optic,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,25,2362.1
Month-to-month,0151-ONTOV,No,No,Female,70.9,Fiber optic,No,No,No,No,No,Mailed check,Yes,0,No,No,No,1,70.9
Month-to-month,0156-FVPTA,No,No,Male,54.2,DSL,Yes,Yes,No,Yes,No,Electronic check,Yes,0,No,No,Yes,22,1152.7
Month-to-month,0195-IESCP,No,No,Male,85.25,Fiber optic,No,Yes,Yes,Yes,No,Electronic check,Yes,0,Yes,No,No,10,855.3
Month-to-month,0196-VULGZ,No,No,Female,84.35,Fiber optic,No,Yes,Yes,Yes,No,Electronic check,Yes,1,Yes,No,No,6,474.9
Month-to-month,0207-MDKNV,No,Yes,Female,105.1,Fiber optic,Yes,No,No,No,No,Electronic check,Yes,0,Yes,Yes,Yes,15,1582.75
Month-to-month,0219-YTZUE,Yes,Yes,Male,84.8,Fiber optic,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,0,No,No,No,4,371.9
Month-to-month,0220-EBGCE,No,Yes,Male,85.85,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,Yes,No,No,2,167.3
Month-to-month,0224-HJAPT,No,No,Male,47.15,DSL,No,No,Yes,No,No,Electronic check,Yes,0,No,No,No,5,223.15
Month-to-month,0231-LXVAP,No,No,Male,75.9,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,No,No,Yes,1,75.9
Month-to-month,0235-KGSLC,No,Yes,Female,85.55,Fiber optic,No,Yes,No,No,No,Credit card (automatic),Yes,0,No,Yes,No,1,85.55
Month-to-month,0236-HFWSV,No,No,Male,93.35,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,Yes,Yes,No,15,1444.65
Month-to-month,0256-LTHVJ,Yes,No,Female,81.05,Fiber optic,No,Yes,No,Yes,No,Electronic check,Yes,0,Yes,No,No,28,2227.1
Month-to-month,0257-ZESQC,No,No,Female,75.2,Fiber optic,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,1,No,No,No,27,1929.35
Month-to-month,0259-GBZSH,No,No,Male,85.65,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,No,Yes,No,2,181.5
Month-to-month,0260-ZDLGK,Yes,Yes,Female,72.9,DSL,No,Yes,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,9,651.4
Month-to-month,0265-EDXBD,No,No,Male,74.9,Fiber optic,No,Yes,Yes,Yes,No,Electronic check,Yes,1,No,No,No,32,2303.35
Month-to-month,0268-QKIWO,No,No internet service,Female,19.75,No,No internet service,No,No,No,No internet service,Electronic check,Yes,0,No internet service,No internet service,No internet service,3,58.85
Month-to-month,0278-YXOOG,No,No internet service,Male,21.05,No,No internet service,No,No,No,No internet service,Mailed check,Yes,0,No internet service,No internet service,No internet service,5,113.85
Month-to-month,0280-XJGEX,No,Yes,Male,103.7,Fiber optic,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,0,Yes,Yes,No,49,5036.3
Month-to-month,0295-PPHDO,No,No,Male,95.45,Fiber optic,No,Yes,Yes,No,No,Electronic check,Yes,0,Yes,Yes,No,1,95.45
Month-to-month,0302-JOIVN,No,Yes,Female,101.15,Fiber optic,No,No,No,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,8,842.9
Month-to-month,0306-JAELE,No,No,Male,96.1,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,Yes,Yes,Yes,5,453.4
Month-to-month,0310-MVLET,Yes,No,Female,99.15,Fiber optic,No,Yes,Yes,Yes,Yes,Electronic check,Yes,0,Yes,Yes,No,61,6010.05
Month-to-month,0311-UNPFF,No,No,Female,88.8,Fiber optic,No,Yes,No,No,No,Bank transfer (automatic),Yes,0,Yes,Yes,No,26,2274.35
Month-to-month,0318-QUUOB,No,No,Male,80.55,Fiber optic,No,Yes,No,Yes,No,Electronic check,Yes,0,No,Yes,No,1,80.55
Month-to-month,0320-JDNQG,Yes,No,Male,99.85,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,0,Yes,Yes,Yes,23,2331.3
Month-to-month,0322-CHQRU,No,No,Male,45.35,DSL,No,No,No,No,No,Electronic check,Yes,0,No,No,No,2,89.5
Month-to-month,0322-YINQP,No,No,Male,48.55,DSL,Yes,Yes,No,No,No,Mailed check,Yes,0,No,No,No,1,48.55
Month-to-month,0324-BRPCJ,No,No,Female,100.2,Fiber optic,No,Yes,Yes,Yes,Yes,Electronic check,Yes,1,Yes,Yes,No,68,6851.65
Month-to-month,0325-XBFAC,No,Yes,Male,94.7,Fiber optic,No,Yes,No,No,No,Electronic check,Yes,0,Yes,Yes,No,8,740.3
